uid,pid,ptm,pen,desc,cat,pey,act
58586,654153,TEN,SJ-0650,Illegal Contact,5,5,A
58587,654156,TB,,Illegal Formation,3,5,A
58588,654160,TB,GC-0400,False Start,1,5,A
58589,654186,OAK,AC-2350,Offensive Pass Interference,2,0,D
58590,654188,OAK,DC-0725,Delay of Game,3,5,A
58591,654200,CIN,GI-1300,Unsportsmanlike Conduct,6,15,A
58592,654203,OAK,RH-3200,False Start,1,5,A
58593,654204,OAK,RH-3200,Unnecessary Roughness,6,15,A
58594,654220,OAK,AH-3700,Offensive Holding,2,0,O
58595,654220,OAK,AH-3700,Unnecessary Roughness,6,0,O
58596,654220,CIN,AJ-1200,Unnecessary Roughness,6,0,O
58597,654231,OAK,DH-2150,Defensive Holding,5,2,A
58598,654234,CIN,RB-4670,Offensive Offside,8,5,A
58599,654259,CIN,RB-2275,Offensive Holding,2,10,A
58600,654267,OAK,DH-2150,Defensive Holding,5,5,A
58601,654312,CIN,KH-2600,Delay of Game,3,5,A
58602,654314,CIN,,12 On-field,3,5,A
58603,654321,CIN,DK-0750,Taunting,6,10,A
58604,654343,BAL,BW-2020,Encroachment,4,5,A
58605,654352,DEN,LV-0100,False Start,1,5,A
58606,654373,BAL,ED-1000,Neutral Zone,4,5,A
58607,654375,DEN,EM-0400,False Start,1,5,A
58608,654394,DEN,PM-0200,False Start,1,5,A
58609,654436,DEN,SB-0225,Illegal Block Above the Waist,7,14,A
58610,654439,DEN,TS-0150,False Start,1,5,A
58611,654457,DEN,KW-0850,Offensive Holding,2,4,A
58612,654465,DEN,PM-0200,Delay of Game,3,5,A
58613,654467,BAL,LW-0700,Defensive Holding,5,5,A
58614,654489,DEN,DB-5100,Defensive Pass Interference,5,2,A
58615,654508,NYG,RA-1500,Illegal Use of Hands,5,5,A
58616,654510,DAL,JW-6000,False Start,1,5,A
58617,654518,DAL,BC-0500,Unnecessary Roughness,6,15,A
58618,654531,NYG,DM-2950,Offensive Holding,2,3,A
58619,654562,NYG,CJ-0900,Unnecessary Roughness,6,15,A
58620,654566,NYG,EF-0075,False Start,1,5,A
58621,654594,NYG,DR-2800,Defensive Pass Interference,5,16,A
58622,654638,DAL,JM-5000,Unnecessary Roughness,6,15,A
58623,654639,NYG,EF-0075,Illegal Formation,3,0,D
58624,654641,DAL,DL-0450,Defensive Offside,4,0,D
58625,654670,PHI,LJ-0850,Offensive Holding,2,0,D
58626,654673,ATL,CG-1400,Offensive Holding,2,10,A
58627,654675,PHI,BM-0600,Defensive Pass Interference,5,18,A
58628,654681,ATL,RS-0650,False Start,1,5,A
58629,654698,PHI,DJ-2800,Delay of Game,3,0,D
58630,654728,PHI,BM-0600,Offensive Holding,2,5,A
58631,654728,PHI,WT-0200,Illegal Block Above the Waist,7,0,D
58632,654738,ATL,RW-2200,Offensive Pass Interference,2,10,A
58633,654745,PHI,KA-0750,Illegal Contact,5,5,A
58634,654752,PHI,AB-0500,Offensive Holding,2,10,A
58635,654753,PHI,AG-0400,Offensive Holding,2,10,A
58636,654766,ATL,LH-0600,Offensive Pass Interference,2,10,A
58637,654770,PHI,JP-2400,False Start,1,2,A
58638,654773,PHI,BC-0700,Offensive Holding,2,8,A
58639,654773,PHI,DM-4300,Face Mask,6,0,D
58640,654777,PHI,NA-0050,Offensive Pass Interference,2,10,A
58641,654781,PHI,JK-0500,Offensive Holding,2,10,A
58642,654784,ATL,RA-0675,Horse Collar,7,5,A
58643,654790,ATL,LH-0600,Offensive Holding,2,7,A
58644,654801,ATL,AL-0700,Offensive Holding,2,10,A
58645,654824,ATL,VB-0075,Defensive Offside,4,0,D
58646,654826,PHI,JK-0500,Offensive Holding,2,10,A
58647,654848,MIN,XR-0100,Defensive Holding,5,5,A
58648,654850,SF,MM-0925,Offensive Holding,2,10,A
58649,654853,MIN,EG-0900,Neutral Zone,4,5,A
58650,654866,SF,AB-2100,False Start,1,5,A
58651,654878,SF,BE-0350,Illegal Formation,3,0,D
58652,654879,SF,MM-0925,False Start,1,5,A
58653,654884,MIN,RE-0400,False Start,1,5,A
58654,654891,SF,JS-5700,Offensive Holding,2,10,A
58655,654901,SF,QP-0050,Running Into the Kicker,6,5,A
58656,654902,SF,NB-0200,Illegal Block Above the Waist,7,0,D
58657,654902,SF,KR-0325,Illegal Block Above the Waist,7,7,A
58658,654919,SF,AB-3100,Defensive Holding,5,5,A
58659,654938,MIN,TN-0400,Defensive Holding,5,5,A
58660,654940,MIN,EG-0900,Illegal Use of Hands,5,5,A
58661,654964,SF,JD-1750,Offensive Holding,2,10,A
58662,654984,MIN,MW-0500,Illegal Substitution,3,0,D
58663,655000,KC,JR-1500,False Start,1,5,A
58664,655001,DEN,DW-1100,Roughing the Passer,6,15,A
58665,655003,DEN,DK-0550,Unnecessary Roughness,6,4,A
58666,655004,DEN,VM-0300,Defensive Offside,4,1,A
58667,655011,KC,CW-1450,Illegal Blindside Block,8,15,A
58668,655014,KC,TK-0150,False Start,1,5,A
58669,655016,KC,BG-2200,Offensive Holding,2,0,D
58670,655022,KC,JH-5500,Defensive Holding,5,5,A
58671,655026,KC,JO-0150,Illegal Block Above the Waist,7,0,D
58672,655033,DEN,VM-0300,Unnecessary Roughness,6,15,A
58673,655035,DEN,MJ-0030,Unnecessary Roughness,6,15,A
58674,655042,KC,MP-0950,Defensive Holding,5,5,A
58675,655047,KC,DS-3162,Illegal Use of Hands,5,5,A
58676,655093,KC,TK-0150,False Start,1,5,A
58677,655105,DEN,TD-0725,Offensive Holding,2,10,A
58678,655112,KC,FZ-0100,Offensive Holding,2,10,A
58679,655116,DEN,DB-5100,Illegal Contact,5,0,O
58680,655116,KC,DS-4050,Illegal Use of Hands,2,0,O
58681,655133,DEN,DB-5100,Offensive Holding,2,10,A
58682,655140,DEN,DB-5100,Unsportsmanlike Conduct,6,15,A
58683,655149,KC,JF-2050,Defensive Holding,5,5,A
58684,655163,CAR,MR-0645,False Start,1,5,A
58685,655164,HOU,BC-3100,Neutral Zone,4,5,A
58686,655170,CAR,TW-2250,Personal Foul,6,15,A
58687,655174,HOU,JT-4150,Illegal Block Above the Waist,7,10,A
58688,655180,CAR,MA-0300,Defensive Offside,4,4,A
58689,655182,CAR,JN-1750,Defensive Holding,5,5,A
58690,655195,HOU,DM-4015,Illegal Block Above the Waist,7,10,A
58691,655197,CAR,CJ-1300,Face Mask,6,14,A
58692,655200,CAR,TD-0700,Unnecessary Roughness,6,15,A
58693,655234,CAR,CN-0500,Illegal Motion,3,5,A
58694,655235,HOU,KJ-0100,Defensive Holding,5,5,A
58695,655240,HOU,EP-0550,Illegal Block Above the Waist,7,9,A
58696,655243,HOU,JA-0230,Illegal Use of Hands,2,0,D
58697,655262,HOU,RM-0300,Delay of Game,3,5,A
58698,655264,CAR,BB-1750,Offensive Holding,2,9,A
58699,655287,HOU,JJ-5000,Illegal Contact,5,5,A
58700,655289,HOU,QD-0100,Defensive Holding,5,5,A
58701,655298,HOU,JC-3350,Neutral Zone,4,4,A
58702,655345,CAR,KE-0050,Roughing the Passer,6,15,A
58703,655352,CAR,KE-0050,Defensive Offside,4,5,A
58704,655354,HOU,RM-0300,Intentional Grounding,3,12,A
58705,655360,SF,QD-0200,Defensive Offside,4,5,A
58706,655361,PIT,RF-0900,Ineligible Downfield Pass,3,0,D
58707,655362,PIT,RF-0900,False Start,1,5,A
58708,655367,PIT,CW-0400,Unnecessary Roughness,6,15,A
58709,655370,PIT,SM-2200,Defensive Offside,4,5,A
58710,655385,SF,NB-0400,Defensive Holding,5,5,A
58711,655400,PIT,SM-2200,Encroachment,4,5,A
58712,655404,SF,EP-0300,Offensive Holding,2,10,A
58713,655407,PIT,JH-2100,Neutral Zone,4,5,A
58714,655418,SF,AB-3100,Neutral Zone,4,1,A
58715,655452,SF,EP-0300,Clipping,7,15,A
58716,655463,PIT,LT-0400,Unnecessary Roughness,6,15,A
58717,655482,SF,EP-0300,False Start,1,5,A
58718,655484,PIT,WA-0100,Unnecessary Roughness,6,8,A
58719,655487,SF,CK-0100,Delay of Game,3,5,A
58720,655506,SF,AB-3100,Defensive Offside,4,0,D
58721,655533,NO,KR-1050,False Start,1,5,A
58722,655537,TB,CM-1600,Encroachment,4,5,A
58723,655544,NO,,Illegal Use of Hands,5,0,D
58724,655551,TB,TJ-1000,Defensive Holding,5,5,A
58725,655556,TB,DS-3037,Offensive Holding,2,10,A
58726,655559,TB,AS-0550,Offensive Holding,2,10,A
58727,655567,NO,AJ-1125,False Start,1,5,A
58728,655569,NO,,Delay of Game,3,5,A
58729,655575,NO,,Offensive Holding,2,10,A
58730,655585,NO,BB-3400,Defensive Holding,5,5,A
58731,655586,TB,AS-0550,Offensive Holding,2,10,A
58732,655601,TB,DS-3037,False Start,1,5,A
58733,655605,NO,KV-0050,Roughing the Passer,6,15,A
58734,655606,TB,LM-0200,False Start,1,5,A
58735,655616,NO,BB-3400,Defensive Pass Interference,5,40,A
58736,655627,NO,HK-0100,Defensive Offside,4,0,D
58737,655630,TB,ME-0600,Offensive Holding,2,10,A
58738,655666,NO,JM-6200,Illegal Motion,3,0,D
58739,655677,NO,BR-0350,Defensive Holding,5,5,A
58740,655680,TB,JH-2900,Tripping,7,10,A
58741,655683,TB,JS-4037,Roughing the Passer,6,15,A
58742,655685,NO,BB-3400,Face Mask,6,15,A
58743,655693,NO,TL-0750,Illegal Use of Hands,2,10,A
58744,655697,TB,JS-4037,Defensive Offside,4,5,A
58745,655726,DET,TW-3900,Offensive Holding,2,9,A
58746,655729,MIN,EG-0900,Neutral Zone,4,5,A
58747,655731,DET,RR-0250,Offensive Holding,2,10,A
58748,655741,DET,EA-0550,Defensive Offside,4,0,D
58749,655754,DET,CL-1750,False Start,1,5,A
58750,655765,DET,QD-0300,Defensive Holding,5,5,A
58751,655773,MIN,XR-0100,Defensive Holding,5,5,A
58752,655797,DET,JJ-4300,Defensive Offside,4,0,A
58753,655805,MIN,MK-0150,Unnecessary Roughness,6,15,A
58754,655814,DET,GT-0100,Offensive Holding,2,10,A
58755,655823,MIN,CJ-1450,False Start,1,5,A
58756,655829,MIN,XR-0100,Defensive Pass Interference,5,27,A
58757,655833,MIN,MW-0500,Delay of Game,3,5,A
58758,655838,MIN,MK-0150,Offensive Holding,2,10,A
58759,655846,MIN,EG-0900,Illegal Use of Hands,5,5,A
58760,655853,MIN,AB-0650,Unnecessary Roughness,6,15,A
58761,655856,MIN,XR-0100,Defensive Holding,5,5,A
