pid,bc,yds
654532,AW-1350,5
654534,EM-0200,8
654535,SV-0200,4
654539,DM-1600,8
654540,DM-1600,3
654542,DM-1600,3
654544,DM-1600,3
654550,RJ-0800,5
654571,TR-0800,-1
654573,DH-1800,11
654575,AW-1350,-1
654577,SV-0200,3
654581,AW-1350,3
654586,JR-0250,2
654587,JR-0250,7
654590,JR-0250,5
654592,JR-0250,5
654593,DM-1600,1
654599,RJ-0800,-3
654602,JR-0250,4
654603,JR-0250,1
654605,JR-0250,2
654609,AW-1350,5
654614,SV-0200,7
654616,AW-1350,2
654620,DM-1600,-2
654622,RJ-0800,1
654634,RJ-0800,3
654636,RJ-0800,27
654637,RJ-0800,7
654638,RJ-0800,2
654639,AW-1350,0
654640,RJ-0800,-4
654642,RJ-0800,2
654643,RJ-0800,1
654659,DM-4300,2
654662,TC-2050,3
654665,TC-2050,9
654666,DF-1875,-2
654670,DM-4300,-12
654676,DF-1875,3
654678,DF-1875,1
654680,DF-1875,3
654688,TC-2050,-5
654695,DS-3300,0
654696,DM-4300,1
654700,TC-2050,3
654703,TC-2050,4
654705,TC-2050,5
654706,MR-2500,4
654709,TC-2050,2
654720,DM-4300,5
654726,DF-1875,7
654733,TC-2050,6
654734,TC-2050,2
654736,TC-2050,2
654741,DF-1875,-6
654750,DS-3300,11
654754,DS-3300,1
654756,TC-2050,4
654760,DM-4300,8
654764,TC-2050,10
654765,TC-2050,4
654776,DM-4300,2
654784,DS-3300,27
654785,DM-4300,0
654789,TC-2050,2
654792,TC-2050,20
654793,DF-1875,9
654794,DF-1875,2
654795,DF-1875,2
654796,TC-2050,4
654798,DF-1875,-1
654800,MR-2500,6
654806,DM-4300,3
654811,RM-1200,1
654816,TC-2050,0
654824,DS-3300,11
654828,RM-1200,3
654829,RM-1200,0
654831,TC-2050,5
654832,TC-2050,4
654833,TC-2050,-4
654838,MR-2500,-1
654839,MR-2500,-1
654840,MR-2500,-1
654842,CH-5000,9
654843,CH-5000,8
654845,RB-4900,8
654846,CH-5000,8
654847,CH-5000,3
654851,CK-0100,8
654862,CK-0100,7
654863,CH-5000,5
654864,CK-0100,4
654865,RB-4900,0
654868,AP-0700,4
654869,AP-0700,1
654874,AP-0700,2
654875,TB-2650,5
654877,CH-5000,0
654883,AP-0700,7
654890,CH-5000,12
654892,JH-3050,1
654896,JM-3450,4
654897,JM-3450,15
654898,JM-3450,1
654904,CH-5000,3
654905,CH-5000,8
654906,CH-5000,10
654907,JH-3050,3
654908,CK-0100,12
654912,CH-5000,7
654913,CH-5000,10
654916,MA-1150,4
654922,AP-0700,9
654923,AP-0700,1
654926,TB-2650,1
654927,AP-0700,5
654928,AP-0700,1
654931,CH-5000,4
654934,JH-3050,9
654936,CH-5000,1
654938,CK-0100,12
654940,CH-5000,1
654941,CH-5000,5
654947,AP-0700,0
654949,AP-0700,1
654952,TB-2650,10
654958,CH-5000,4
654959,CH-5000,7
654961,CH-5000,-4
654963,CH-5000,18
654965,JH-3050,0
654968,CH-5000,17
654974,CH-5000,14
654976,CH-5000,1
654987,CH-5000,3
654988,CH-5000,9
654989,CH-5000,5
654990,CK-0100,-1
654991,CK-0100,-1
654993,CA-0750,14
654994,CA-0750,0
654995,CA-0750,1
654998,JC-2300,6
654999,JC-2300,7
655003,JC-2300,13
655009,CA-0750,0
655012,JC-2300,3
655020,CA-0750,3
655024,RH-2350,0
655028,CA-0750,1
655029,CA-0750,0
655030,ES-0200,0
655031,JC-2300,4
655032,JM-0200,-2
655034,JC-2300,2
655035,JC-2300,3
655037,JC-2300,34
655043,RH-2350,7
655044,RH-2350,0
655050,RH-2350,3
655054,RH-2350,16
655062,RH-2350,7
655064,RH-2350,0
655068,JC-2300,1
655069,JC-2300,1
655071,JC-2300,5
655073,JC-2300,2
655075,JC-2300,9
655077,KD-0450,1
655082,CA-0750,0
655086,CA-0750,11
655087,CA-0750,-3
655091,JC-2300,3
655097,RH-2350,0
655103,JC-2300,4
655104,AS-1600,2
655107,CA-0750,0
655115,KD-0450,0
655121,RH-2350,1
655125,AS-1600,2
655127,JC-2300,3
655128,JM-0200,-3
655130,CA-0750,0
655134,JC-2300,1
655136,JC-2300,8
655137,JC-2300,13
655138,JC-2300,2
655139,KD-0450,8
655155,JC-2300,1
655158,AS-1600,11
655167,AB-1975,-1
655171,JS-6700,3
655172,JS-6700,3
655179,CP-1950,5
655181,JP-4187,4
655186,JG-3850,4
655191,CN-0500,11
655196,AB-1975,2
655199,AB-1975,0
655205,CN-0500,4
655206,JS-6700,10
655207,JS-6700,3
655213,CP-1950,1
655214,CP-1950,4
655217,CN-0500,15
655219,JS-6700,9
655220,MT-1300,13
655229,JS-6700,2
655235,CN-0500,5
655237,JS-6700,3
655238,CN-0500,3
655242,CP-1950,1
655251,JG-3850,3
655257,FW-0750,3
655263,CP-1950,1
655265,MT-1300,11
655266,MT-1300,3
655268,CP-1950,13
655269,CP-1950,0
655272,AB-1975,4
655274,CP-1950,3
655276,CP-1950,3
655279,CP-1950,0
655283,JS-6700,2
655284,CN-0500,9
655288,CN-0500,19
655290,JS-6700,2
655293,JS-6700,11
655295,MT-1300,4
655299,CN-0500,2
655303,AB-1975,1
655307,JS-6700,2
655309,CN-0500,9
655311,JS-6700,1
655318,JS-6700,-1
655319,JS-6700,3
655322,CP-1950,-3
655333,RM-0300,6
655336,JS-6700,5
655337,JS-6700,3
655339,JS-6700,1
655340,MT-1300,0
655344,CP-1950,4
655346,CP-1950,3
655349,CP-1950,3
655357,CN-0500,-1
655359,DW-3600,0
655366,DW-3600,1
655371,CH-5000,5
655372,CH-5000,-3
655375,CH-5000,7
655379,DW-3600,2
655382,DW-3600,6
655386,DW-3600,7
655390,CH-5000,4
655391,CH-5000,3
655392,CH-5000,10
655393,CK-0100,14
655394,CH-5000,9
655395,JH-3050,1
655396,JH-3050,2
