pid,qtr,min,sec,dwn,yds,pts,player,type
659852,4,15,0,3,38,7,CH-3350,REC
659879,4,8,11,4,46,6,RM-1500,REC
659883,4,6,54,2,41,7,KW-1150,RUSH
659973,3,15,0,0,105,7,TL-1025,KR
659998,3,4,36,3,30,7,JG-2900,REC
660101,2,4,58,2,1,7,RH-2350,RUSH
660113,2,1,7,1,1,6,JB-2700,RUSH
660122,2,0,13,4,45,7,DT-0900,REC
660136,3,10,57,1,16,6,AA-0025,REC
660195,4,2,32,3,11,7,OD-0100,REC
660227,1,9,44,1,8,7,TM-3150,REC
660246,1,2,23,2,3,7,RC-1500,REC
660263,2,12,8,2,9,7,JC-2300,RUSH
660291,2,0,56,1,27,7,JJ-4200,REC
660322,3,7,22,1,4,7,RC-1500,REC
660335,3,1,0,2,5,7,JM-0200,REC
660345,4,12,13,3,4,7,RC-1500,REC
660355,4,10,1,1,4,8,JC-2300,RUSH
660383,4,1,30,2,7,6,JC-2300,RUSH
660424,1,0,32,3,9,7,MC-0150,RUSH
660454,2,1,48,1,11,7,LB-0250,RUSH
660475,3,10,47,3,9,7,DH-2800,REC
660483,3,7,32,2,15,7,KA-0400,REC
660580,1,10,56,1,3,7,CI-0300,RUSH
660627,2,7,13,1,8,7,JS-7050,REC
660651,2,0,37,2,10,7,ED-0200,REC
660668,3,10,29,1,2,7,ZS-0150,RUSH
660709,4,10,5,2,10,7,KS-2350,REC
660795,2,11,46,2,8,7,AH-3900,REC
660814,2,6,10,2,2,7,CF-0650,REC
660987,1,0,31,1,21,6,DH-1800,REC
661007,2,10,44,2,11,7,RR-0130,REC
661091,4,9,46,2,23,7,KW-1150,REC
661098,4,7,54,3,51,8,RJ-0800,REC
661142,1,10,53,3,46,7,JN-1750,INT
661182,2,10,55,3,6,7,TG-0900,REC
661197,2,4,28,1,5,7,DM-0450,RUSH
661224,3,12,38,1,8,7,ED-0400,ORCV
661237,3,7,33,3,12,7,TG-0900,REC
661248,3,2,57,2,10,7,CS-1950,REC
661296,4,1,3,3,6,6,VJ-0100,REC
661359,2,5,27,2,1,7,KC-2350,RUSH
661386,3,12,3,2,62,7,RC-2300,REC
661397,3,8,25,3,10,7,BC-0700,REC
661422,4,14,49,1,39,7,MA-1400,REC
661466,4,0,31,2,4,7,PG-0100,REC
661481,1,11,2,3,7,6,ER-0500,REC
661517,2,11,17,1,26,7,AC-2350,REC
661527,2,7,18,1,4,7,RH-1600,REC
661536,2,3,35,2,5,7,MB-1800,REC
661654,1,8,38,1,16,7,DF-1875,RUSH
661678,2,14,45,1,23,7,DF-1875,RUSH
661690,2,12,34,2,24,7,DT-1970,FUM
661711,2,3,15,3,3,7,LH-0600,REC
661742,3,10,55,1,6,7,DF-1875,RUSH
661759,3,3,2,3,8,7,TW-0650,RUSH
661771,4,14,28,3,5,7,CF-0375,REC
661787,4,9,14,2,1,7,CP-1950,RUSH
661802,4,3,8,1,8,7,CS-1500,REC
661819,4,0,1,4,84,6,NS-0750,FUM
661828,1,11,41,1,8,7,JH-4025,RUSH
661851,1,0,58,3,13,7,GB-0350,RUSH
661910,3,8,53,3,55,7,BT-0300,REC
661936,3,0,18,2,5,8,JH-4025,RUSH
661964,4,4,54,2,1,7,JH-4025,RUSH
662023,1,0,54,2,28,7,KA-0650,REC
662029,2,14,17,2,34,7,DJ-1850,REC
662108,3,4,28,1,19,7,LG-0750,REC
662138,4,7,29,2,1,7,JP-2800,REC
662150,4,2,13,2,1,8,GB-0200,REC
662175,1,9,12,2,9,7,RR-1050,REC
662256,3,7,14,3,1,7,JK-2200,RUSH
