pid,psr,trg,yds,comp
653472,BB-2425,AR-1250,0,0
653474,BB-2425,RG-1812,4,1
653478,CN-0500,CB-3850,0,0
653480,CN-0500,JC-5400,10,1
653482,CN-0500,GO-0100,0,0
653485,CN-0500,JS-6700,6,1
653487,CN-0500,JS-6700,9,1
653494,BB-2425,CH-1200,0,0
653499,BB-2425,AH-3900,0,0
653500,BB-2425,RG-1812,0,0
653501,BB-2425,RG-1812,0,0
653502,BB-2425,BW-0400,13,1
653503,BB-2425,,0,0
653504,BB-2425,BP-0650,0,0
653506,BB-2425,BW-0400,4,1
653510,RW-3850,JG-2900,7,1
653513,RW-3850,FJ-0100,16,1
653515,RW-3850,TL-1025,7,1
653516,RW-3850,DB-0500,2,1
653523,NF-0250,TA-1050,-9,1
653530,NF-0250,JC-4300,22,1
653533,NF-0250,BC-3070,17,1
653534,NF-0250,TA-1050,0,0
653535,NF-0250,BC-3070,11,1
653537,NF-0250,JC-4300,20,1
653542,RW-3850,ML-2500,0,1
653547,RW-3850,ML-2500,0,0
653553,NF-0250,BC-3070,0,0
653554,NF-0250,SB-0070,7,1
653558,RW-3850,CM-0850,8,1
653560,RW-3850,TL-1025,7,1
653561,RW-3850,ML-2500,7,1
653563,RW-3850,JK-0250,0,0
653567,NF-0250,JC-4300,5,1
653568,NF-0250,KB-1900,0,0
653570,RW-3850,JK-0250,23,1
653571,RW-3850,JK-0250,2,1
653572,RW-3850,DB-0500,7,1
653575,RW-3850,TL-1025,12,1
653576,RW-3850,JK-0250,5,1
653578,RW-3850,ML-2500,0,0
653582,NF-0250,SB-0070,29,1
653588,RW-3850,JK-0250,9,1
653590,RW-3850,JG-2900,1,1
653593,NF-0250,KB-1900,16,1
653597,NF-0250,JC-4300,30,1
653602,RW-3850,DB-0500,0,0
653609,RW-3850,JK-0250,4,1
653610,RW-3850,DB-0500,0,0
653614,NF-0250,JC-4300,0,0
653616,RW-3850,DB-0500,4,1
653618,RW-3850,JG-2900,19,1
653621,RW-3850,JG-2900,6,1
653622,RW-3850,ML-2500,3,1
